Ordem	item_entrega	Entrega	Subitem	Competência	Item_rubrica	Rubrica de Avaliação	Gestão Acadêmica	Gestão do TCC	Pesquisa Acadêmica	Formatação e Apresentação	Documentação de Software	Gestão da Proposta	Pesquisa Científica	Desenvolvimento de Software	Aplicação no projeto
91	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.4	 Garantir que a escrita não contém erros de gramática	8	6	4	7	5	2	3	1	Descrição da aplicação no projeto a ser definida.
92	2.0	Entrega 2 - Desenvolvimento	2.3	Considerações finais	2.3.2	 Apresentar claramente as limitações do trabalho realizado	3	6	8	1	2	5	7	4	Descrição da aplicação no projeto a ser definida.
93	2.0	Entrega 2 - Desenvolvimento	2.3	Considerações finais	2.3.3	 Apresentar de forma completa as contribuições ou limitações do trabalho	3	6	8	1	2	5	7	4	Descrição da aplicação no projeto a ser definida.
94	2.0	Entrega 2 - Desenvolvimento	2.4	Inovação	2.4.1	 Empregar habilidades para criar soluções profissionais inovadoras 	4	3	6	2	1	5	7	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
95	2.0	Entrega 2 - Desenvolvimento	2.4	Inovação	2.4.2	 Contribuir com responsabilidade para inovar (no processo de TCC)	3	8	5	1	2	4	7	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
96	2.0	Entrega 2 - Desenvolvimento	2.4	Inovação	2.4.4	 Buscar inovações de formatação (no processo de TCC)	6	5	2	8	7	4	1	3	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
97	2.0	Entrega 2 - Desenvolvimento	2.4	Inovação	2.4.5	 Buscar inovações de escrita no processo de TCC	3	7	5	8	2	7	6	4	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
98	2.0	Entrega 2 - Desenvolvimento	2.4	Inovação	2.4.9	 Compreender o risco como tentativa de inovar, independente de sucesso	1	3	5	2	4	7	8	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
99	2.0	Entrega 2 - Desenvolvimento	2.4	Inovação	2.4.6	 Buscar inovações na relação entre as pessoas	1	8	4	6	5	7	3	5	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
100	2.0	Entrega 2 - Desenvolvimento	2.4	Inovação	2.4.7	 Buscar inovar na análise de dados do trabalho que foi proposto, a partir conhecimento adquirido durante o curso	3	5	8	1	2	4	7	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
101	2.0	Entrega 2 - Desenvolvimento	2.4	Inovação	2.4.10	Se comprometer mais com os riscos para testar uma inovação para o trabalho	1	3	5	2	4	7	8	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
102	2.0	Entrega 2 - Desenvolvimento	2.5	Investigativa	2.5.1	 Empregar habilidades para conciliar a teoria acadêmica com problema real	1	5	8	2	3	6	7	4	A Pesquisa Acadêmica e a Pesquisa Científica trabalham para conciliar a teoria com a prática, delimitando o escopo e selecionando os métodos mais adequados para a resolução do problema.
103	2.0	Entrega 2 - Desenvolvimento	2.4	Inovação	2.4.3	 Contribuir com responsabilidade na análise de dados da solução/pesquisa (no processo de TCC)	3	5	8	1	2	4	7	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
104	2.0	Entrega 2 - Desenvolvimento	2.4	Inovação	2.4.8	 Assumir riscos	1	3	5	2	4	7	8	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
105	2.0	Entrega 2 - Desenvolvimento	2.5	Investigativa	2.5.2	 Restringir, Não deixar abrangente	4	7	6	1	2	8	5	3	A Pesquisa Acadêmica e a Pesquisa Científica trabalham para conciliar a teoria com a prática, delimitando o escopo e selecionando os métodos mais adequados para a resolução do problema.
106	2.0	Entrega 2 - Desenvolvimento	2.6	Profissional / Referencial teórico	2.6.1	 Relacionar conhecimentos desenvolvidos com o curso	2	7	8	1	6	4	5	3	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
107	2.0	Entrega 2 - Desenvolvimento	2.5	Investigativa	2.5.3	 O grupo escolheu o método adequado e/ou combinou alguns métodos disponíveis	4	6	7	1	2	5	8	3	A Pesquisa Acadêmica e a Pesquisa Científica trabalham para conciliar a teoria com a prática, delimitando o escopo e selecionando os métodos mais adequados para a resolução do problema.
108	2.0	Entrega 2 - Desenvolvimento	2.6	Profissional / Referencial teórico	2.6.4	 Não ser redundante com a parte introdutória do texto	2	4	8	6	7	3	5	1	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
109	2.0	Entrega 2 - Desenvolvimento	2.6	Profissional / Referencial teórico	2.6.6	 Pesquisar além da literatura apresentada em fontes confiáveis (Pesquisar mais sobre o assunto)	1	3	6	2	8	4	7	5	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
110	2.0	Entrega 2 - Desenvolvimento	2.6	Profissional / Referencial teórico	2.6.8	 Adaptar os métodos a partir da sua capacidade de análise, criação e ajustes a uma realidade apresentada	2	5	3	1	6	8	7	4	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
111	2.0	Entrega 2 - Desenvolvimento	2.7	Resolução de problemas / Objetivo geral / Objetivos específicos / Desenvolvimento	2.7.1	 Empregar habilidades para entender e resolver problemas de um cenário profissional	1	4	3	2	5	8	7	6	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
112	2.0	Entrega 2 - Desenvolvimento	2.6	Profissional / Referencial teórico	2.6.5	 Escolher e/ou combinar métodos adequados disponíveis	2	4	3	1	5	7	8	6	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
113	2.0	Entrega 2 - Desenvolvimento	2.6	Profissional / Referencial teórico	2.6.7	 Dar contribuições ao texto original (ampliar compreensão sobre o tema)	1	4	7	3	8	5	6	2	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
114	2.0	Entrega 2 - Desenvolvimento	2.6	Profissional / Referencial teórico	2.6.2	 Empregar habilidades de relacionar os conhecimentos desenvolvidos no curso com o campo profissional	3	4	6	1	2	5	7	8	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
115	2.0	Entrega 2 - Desenvolvimento	2.6	Profissional / Referencial teórico	2.6.3	 Não fugir do tema	4	8	3	6	2	7	5	1	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
116	2.0	Entrega 2 - Desenvolvimento	2.6	Profissional / Referencial teórico	2.6.9	 Evidenciar compreensão do método como um caminho para um fim determinado.	1	4	3	2	5	8	7	6	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
117	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.1	 Desenvolver o problema solucionado (justificativa)	1	3	5	2	6	8	7	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
118	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.2	 Descrever os desafios para a solução	1	2	4	3	7	6	8	5	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
119	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.7	 Apresentar múltiplos objetivos complementares	1	2	4	3	7	6	8	5	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
120	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.8	 Apresentar os problemas de forma abrangente (não parte dele)	1	2	4	3	5	8	7	6	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
121	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.10	Apresentar de forma clara e completa as contribuições do trabalho realizado	1	2	4	3	8	7	6	5	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
122	2.0	Entrega 2 - Desenvolvimento	2.9	Resultados / Discussão dos dados	2.9.1	 Analisar os resultados à luz do referencial teórico	1	2	4	3	5	6	7	8	A Pesquisa Científica e o Desenvolvimento de Software analisam e apresentam os resultados obtidos, discutindo-os à luz do referencial teórico e das hipóteses do projeto.
123	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.3	 Descrever claramente os objetivos	1	2	4	3	7	6	8	5	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
124	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.4	 Distinguir os objetivos gerais dos específicos	1	2	4	3	7	6	8	5	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
125	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.5	 Deve haver mais de um objetivo complementar	1	2	4	3	7	6	8	5	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
126	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.6	 Apresentar um objetivo geral	1	2	4	3	7	6	8	5	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
127	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.9	 Apresentar claramente e completa as limitações do trabalho realizado	1	2	4	3	8	7	6	5	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
128	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.11	Apresentar clareza na formulação do problema/solução científica	1	2	4	3	5	8	7	6	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
129	2.0	Entrega 2 - Desenvolvimento	2.8	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	2.8.12	Apresentar clareza no desenvolvimento do problema/solução científica	1	5	6	4	3	7	8	2	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
130	2.0	Entrega 2 - Desenvolvimento	2.9	Resultados / Discussão dos dados	2.9.2	 Apresentar os resultados	1	2	3	4	5	6	7	8	A Pesquisa Científica e o Desenvolvimento de Software analisam e apresentam os resultados obtidos, discutindo-os à luz do referencial teórico e das hipóteses do projeto.
131	2.0	Entrega 2 - Desenvolvimento	2.1	Tecnológica	2.10.1	Usar tecnologia para solucionar problemas	1	3	4	2	5	6	7	8	O time de Desenvolvimento de Software aplica tecnologias relevantes para solucionar os problemas do projeto, garantindo a implementação eficaz das soluções propostas.
132	3.0	Banca de Avaliação (2 avaliadores)	3.1	Apresentação oral	3.1.1	 (Cada aluno deve) Apresentar oralmente o trabalho	1	7	2	6	5	8	4	3	A equipe de Formatação e Apresentação, com o apoio de todos os membros, prepara e executa a apresentação oral do TCC, demonstrando domínio e clareza na comunicação.
133	3.0	Banca de Avaliação (2 avaliadores)	3.1	Apresentação oral	3.1.2	 Apresentar respeitando o intervalo entre 15 a 20 minutos Apresentar o trabalho de uma forma clara.	1	7	4	8	3	5	6	2	A equipe de Formatação e Apresentação, com o apoio de todos os membros, prepara e executa a apresentação oral do TCC, demonstrando domínio e clareza na comunicação.
134	3.0	Banca de Avaliação (2 avaliadores)	3.1	Apresentação oral	3.1.3	 Garantir que o trabalho seja expresso (apresentado) com domínio (sem dificuldades)	3	7	5	8	1	6	4	2	A equipe de Formatação e Apresentação, com o apoio de todos os membros, prepara e executa a apresentação oral do TCC, demonstrando domínio e clareza na comunicação.
135	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.6	 Criar estratégia para que o texto seja organizado	2	4	6	7	8	3	5	1	Descrição da aplicação no projeto a ser definida.
136	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.7	 Criar estratégia para que o texto seja coerente, sem trechos incoerentes	2	5	6	7	8	3	4	1	Descrição da aplicação no projeto a ser definida.
137	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.8	 Criar estratégia para que o texto apresente sentido 	2	4	6	7	8	3	5	1	Descrição da aplicação no projeto a ser definida.
138	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.4	 Garantir que a escrita não contém erros de gramática	8	6	4	7	5	2	3	1	Descrição da aplicação no projeto a ser definida.
139	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.1	 Empregar habilidades para comunicar-se utilizando as variadas linguagens	2	7	4	8	3	6	5	3	Descrição da aplicação no projeto a ser definida.
140	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.5	 Garantir que a escrita não contém erros de pontuação	8	6	4	7	5	2	3	1	Descrição da aplicação no projeto a ser definida.
141	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.9	 Criar estratégia para que o texto seja bem estruturado	2	5	6	7	8	3	4	1	Descrição da aplicação no projeto a ser definida.
142	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.12	Escrever todas as citações e referências bibliográficas na norma ABNT	4	3	5	8	7	2	6	1	Descrição da aplicação no projeto a ser definida.
143	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.10	Criar estratégia para que o texto tenha sempre articulação entre as partes	2	4	6	7	8	3	5	1	Descrição da aplicação no projeto a ser definida.
144	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.11	Apresentar propositalmente sentido e articulação na integralidade do texto	2	5	6	7	8	3	4	1	Descrição da aplicação no projeto a ser definida.
145	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.2	 Garantir que a estruturação da escrita geral facilita a compreensão.	2	4	6	7	8	3	5	1	Descrição da aplicação no projeto a ser definida.
146	3.0	Banca de Avaliação (2 avaliadores)	3.2	Comunicação / Linguagem	3.2.3	 Garantir que a escrita não contém erros de ortografia	8	6	4	7	5	2	3	1	Descrição da aplicação no projeto a ser definida.
147	3.0	Banca de Avaliação (2 avaliadores)	3.3	Considerações finais	3.3.1	 Apresentar claramente as contribuições do trabalho realizado	1	2	4	7	8	6	5	3	Descrição da aplicação no projeto a ser definida.
148	3.0	Banca de Avaliação (2 avaliadores)	3.3	Considerações finais	3.3.2	 Apresentar claramente as limitações do trabalho realizado	1	2	4	3	8	5	7	6	Descrição da aplicação no projeto a ser definida.
149	3.0	Banca de Avaliação (2 avaliadores)	3.3	Considerações finais	3.3.3	 Apresentar de forma completa as contribuições ou limitações do trabalho	1	2	7	3	4	5	8	6	Descrição da aplicação no projeto a ser definida.
150	3.0	Banca de Avaliação (2 avaliadores)	3.4	Estrutura do TCC	3.4.1	 Descreve claramente e de maneira completa todos os tópicos solicitados	3	8	6	1	2	7	5	4	A Formatação e Apresentação, em conjunto com a Gestão do TCC, assegura que a estrutura do trabalho escrito atenda a todos os tópicos solicitados, com clareza e completude.
151	3.0	Banca de Avaliação (2 avaliadores)	3.4	Estrutura do TCC	3.4.2	 Garantir que todos os tópicos solicitados sejam claramente atendidos	3	8	6	1	2	7	5	4	A Formatação e Apresentação, em conjunto com a Gestão do TCC, assegura que a estrutura do trabalho escrito atenda a todos os tópicos solicitados, com clareza e completude.
152	3.0	Banca de Avaliação (2 avaliadores)	3.4	Estrutura do TCC	3.4.4	 Demonstrar esforço em buscar as informações solicitadas	1	2	7	4	6	3	8	5	A Formatação e Apresentação, em conjunto com a Gestão do TCC, assegura que a estrutura do trabalho escrito atenda a todos os tópicos solicitados, com clareza e completude.
153	3.0	Banca de Avaliação (2 avaliadores)	3.4	Estrutura do TCC	3.4.3	 Demonstrar empenho	1	2	3	4	6	5	7	8	A Formatação e Apresentação, em conjunto com a Gestão do TCC, assegura que a estrutura do trabalho escrito atenda a todos os tópicos solicitados, com clareza e completude.
154	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.2	 Apresentar o processo de escolha ou combinação dos métodos	1	2	6	5	7	4	8	3	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
155	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.1	 Apresentar a competência de escolha e desenvolvimento do método	1	3	4	2	5	8	7	6	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
156	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.4	 Pesquisar além da literatura (convencional)	1	4	7	3	6	5	8	2	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
157	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.5	 Utilizar (deixar claro) referencial de fontes confiáveis	1	2	8	6	7	4	5	3	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
158	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.7	" Pesquisar ""mais"" sobre o assunto"	1	4	5	2	7	6	8	3	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
159	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.10	Ater-se ao tema	1	3	6	7	8	4	5	2	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
160	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.11	Eliminar redundâncias de conteúdo (com a parte introdutória do texto)	2	4	8	6	7	3	5	1	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
161	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.3	 Escolher um ou mais métodos adequados	1	3	4	2	5	6	8	7	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
162	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.9	 Demonstrar compreensão do método como um caminho para um fim determinado	1	2	4	5	3	8	7	6	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
163	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.6	 Adaptar os métodos a partir da sua capacidade de análise, criação e ajustes a uma realidade apresentada	2	4	7	3	6	5	8	1	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
164	3.0	Banca de Avaliação (2 avaliadores)	3.5	Método/Métodos	3.5.8	 Dar contribuições ao texto original	1	3	5	7	8	4	6	2	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
165	3.0	Banca de Avaliação (2 avaliadores)	3.6	Resolução de problemas / Objetivo geral / Objetivos específicos / Desenvolvimento	3.6.1	 Empregar habilidades para entender e resolver problemas de um cenário profissional	3	4	6	1	2	5	7	8	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
166	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.1	 Desenvolver o problema solucionado (justificativa)	1	3	4	2	5	8	7	6	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
167	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.6	 Apresentar um objetivo geral	3	8	6	1	2	7	5	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
168	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.7	 Apresentar múltiplos objetivos complementares	3	8	6	1	2	7	5	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
169	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.9	 Apresentar claramente e completa as limitações do trabalho realizado	1	3	4	2	5	8	7	6	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
170	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.12	Apresentar clareza no desenvolvimento do problema/solução científica	3	6	8	1	2	5	7	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
171	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.2	 Descrever os desafios para a solução	1	2	4	3	8	6	5	7	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
172	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.3	 Descrever claramente os objetivos	1	2	4	3	7	6	8	5	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
173	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.4	 Distinguir os objetivos gerais dos específicos	1	2	4	3	7	6	8	5	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
174	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.5	 Deve haver mais de um objetivo complementar	3	8	6	1	2	7	5	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
175	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.8	 Apresentar os problemas de forma abrangente (não parte dele)	1	3	6	2	5	8	7	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
176	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.10	Apresentar de forma clara e completa as contribuições do trabalho realizado	3	6	8	1	2	5	7	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
177	3.0	Banca de Avaliação (2 avaliadores)	3.7	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	3.7.11	Apresentar clareza na formulação do problema/solução científica	3	6	8	1	2	5	7	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
178	3.0	Banca de Avaliação (2 avaliadores)	3.8	Resultados / Discussão dos dados	3.8.1	 Analisar os resultados à luz do referencial teórico	1	2	4	3	5	6	7	8	A Pesquisa Científica e o Desenvolvimento de Software analisam e apresentam os resultados obtidos, discutindo-os à luz do referencial teórico e das hipóteses do projeto.
179	3.0	Banca de Avaliação (2 avaliadores)	3.8	Resultados / Discussão dos dados	3.8.2	 Apresentar os resultados	1	2	3	4	5	6	7	8	A Pesquisa Científica e o Desenvolvimento de Software analisam e apresentam os resultados obtidos, discutindo-os à luz do referencial teórico e das hipóteses do projeto.
